text,label
"me duele mucho el pecho y no puedo respirar",MEDICAL
"mi padre se ha caido y no se mueve",MEDICAL
"alguien se ha desmayado en la calle",MEDICAL
"una persona esta sangrando mucho",MEDICAL
"creo que estoy teniendo un infarto",MEDICAL
"mi hijo tiene fiebre muy alta y convulsiones",MEDICAL
"una persona se ha atragantado y no puede respirar",MEDICAL
"mi abuela se ha roto la cadera",MEDICAL
"alguien ha tenido una reaccion alergica grave",MEDICAL
"una mujer embarazada tiene contracciones muy fuertes",MEDICAL
"un hombre se ha cortado con un cuchillo y sangra mucho",MEDICAL
"me han apunalado y estoy sangrando",MEDICAL
"una persona ha sido apunalada y necesita ayuda medica",MEDICAL
"le han clavado un cuchillo y esta herido",MEDICAL
"mi vecino no responde y esta en el suelo",MEDICAL
"una persona ha sufrido una descarga electrica",MEDICAL
"alguien se ha quemado con aceite hirviendo",MEDICAL
"me he quemado la mano con agua caliente",MEDICAL
"me he quemado el brazo con la plancha",MEDICAL
"mi hijo se ha quemado el dedo con la estufa",MEDICAL
"me he quemado la piel con el sol",MEDICAL
"tengo una quemadura en la pierna",MEDICAL
"me cayo aceite caliente en el brazo y me queme",MEDICAL
"un nino se ha quemado con la sopa caliente",MEDICAL
"me he escaldado la mano con el vapor",MEDICAL
"un nino se ha caido del columpio y no mueve el brazo",MEDICAL
"tengo un dolor muy fuerte en el abdomen",MEDICAL
"una persona mayor se ha desmayado por el calor",MEDICAL
"mi companero de trabajo no puede hablar ni mover el brazo",MEDICAL
"hay alguien con un ataque de epilepsia",MEDICAL
"una persona se ha intoxicado con productos de limpieza",MEDICAL
"me he torcido el tobillo y no puedo caminar",MEDICAL
"una persona ha perdido el conocimiento en el metro",MEDICAL
"mi madre tiene dificultad para respirar",MEDICAL
"un hombre ha sufrido un golpe de calor",MEDICAL
"mi hijo ha ingerido lejia por accidente",MEDICAL
"una persona diabetica se ha puesto muy mal",MEDICAL
"me he clavado un clavo en el pie",MEDICAL
"alguien ha sido picado por una avispa y se hincha",MEDICAL
"una persona se ha roto la pierna jugando al futbol",MEDICAL
"me duele el pecho",MEDICAL
"no puedo respirar",MEDICAL
"se ha desmayado",MEDICAL
"esta sangrando mucho",MEDICAL
"me he cortado",MEDICAL
"se ha roto un hueso",MEDICAL
"tiene convulsiones",MEDICAL
"me he quemado",MEDICAL
"hay un incendio en el edificio de enfrente",FIRE
"se esta quemando un coche en la carretera",FIRE
"hay humo saliendo de la cocina",FIRE
"el bosque esta ardiendo cerca de mi casa",FIRE
"hay fuego en el contenedor de basura",FIRE
"se ha incendiado una fabrica en el poligono",FIRE
"hay llamas saliendo de una ventana del tercer piso",FIRE
"el garaje esta lleno de humo",FIRE
"un cortocircuito ha provocado un incendio en la oficina",FIRE
"hay un incendio forestal avanzando hacia las casas",FIRE
"se esta quemando un restaurante en el centro",FIRE
"hay fuego en el campo y se acerca al pueblo",FIRE
"una estufa ha provocado un incendio en el salon",FIRE
"el taller mecanico esta en llamas",FIRE
"hay un incendio en el almacen del supermercado",FIRE
"se ve mucho humo negro saliendo del tejado",FIRE
"una barbacoa ha provocado un incendio en el jardin",FIRE
"hay fuego en la nave industrial",FIRE
"un rayo ha provocado un incendio en el monte",FIRE
"la chimenea ha prendido fuego al tejado",FIRE
"he quemado la casa con aceite sin querer",FIRE
"se ha quemado la cocina entera",FIRE
"se esta quemando mi casa",FIRE
"he quemado el salon con una vela",FIRE
"el aceite de la sarten ha quemado la cocina",FIRE
"se ha quemado el piso de mi vecino",FIRE
"se ha prendido fuego el cuadro electrico",FIRE
"hay un incendio en el sotano del edificio",FIRE
"las cortinas se han prendido fuego con una vela",FIRE
"el microondas ha explotado y hay fuego",FIRE
"se ha incendiado un contenedor y se extiende al edificio",FIRE
"hay humo muy negro saliendo del garaje",FIRE
"un petardo ha provocado un incendio en el portal",FIRE
"hay fuego",FIRE
"se esta quemando todo",FIRE
"hay mucho humo",FIRE
"se ha incendiado",FIRE
"hay llamas",FIRE
"ha habido un accidente de trafico en la autopista",TRAFFIC
"un coche ha atropellado a un peaton",TRAFFIC
"dos coches han chocado en el cruce",TRAFFIC
"un camion ha volcado en la carretera",TRAFFIC
"una moto ha tenido un accidente",TRAFFIC
"hay un accidente multiple en la autovia",TRAFFIC
"un coche se ha salido de la carretera",TRAFFIC
"ha habido un choque frontal entre dos vehiculos",TRAFFIC
"un autobus ha tenido un accidente con heridos",TRAFFIC
"un ciclista ha sido atropellado",TRAFFIC
"hay un accidente con personas atrapadas en el coche",TRAFFIC
"un coche ha chocado contra un poste de luz",TRAFFIC
"una furgoneta ha arrollado a varias personas",TRAFFIC
"hay un vehiculo volcado con gente dentro",TRAFFIC
"un peaton ha sido arrollado en el paso de cebra",TRAFFIC
"dos motos han colisionado en la rotonda",TRAFFIC
"un coche ha caido por un barranco",TRAFFIC
"hay un accidente de trafico con un herido grave",TRAFFIC
"un taxi ha chocado con un autobus",TRAFFIC
"un camion ha perdido la carga en la carretera",TRAFFIC
"un coche ha chocado contra una farola",TRAFFIC
"hay un accidente en la rotonda con tres coches",TRAFFIC
"una persona ha sido atropellada por un patinete electrico",TRAFFIC
"un vehiculo se ha empotrado contra un escaparate",TRAFFIC
"hay un accidente de autobus escolar con ninos heridos",TRAFFIC
"dos coches han tenido un alcance en la autovia",TRAFFIC
"un conductor se ha dado a la fuga tras atropellar a alguien",TRAFFIC
"hay un accidente con una persona atrapada bajo un camion",TRAFFIC
"ha habido un accidente",TRAFFIC
"un coche ha chocado",TRAFFIC
"han atropellado a alguien",TRAFFIC
"hay un accidente de moto",TRAFFIC
"un coche volcado",TRAFFIC
"hay un hombre con un cuchillo amenazando a la gente",SECURITY
"estan robando en la tienda de al lado",SECURITY
"hay una pelea callejera con armas",SECURITY
"alguien ha entrado a robar en mi casa",SECURITY
"hay una persona sospechosa merodeando por el barrio",SECURITY
"estan vandalizando los coches del aparcamiento",SECURITY
"hay una agresion en el parque",SECURITY
